business_id,business_type,location_type,years_in_business,num_employees,owner_gender,owner_age,education_level,monthly_revenue,monthly_expenses,cash_flow_volatility,mobile_money_frequency,mobile_money_volume,mobile_money_consistency,has_bank_account,bank_account_age,savings_balance,num_suppliers,num_customers,digital_payment_adoption,social_media_presence,mobile_money_score,business_score,banking_score,digital_score,demo_score,credit_score,traditional_score,traditional_approval,ai_approval,actually_creditworthy
SME_00000,agriculture,urban,4.8,6,male,50.7,1,43193,39042.0,0.13,59.0,8457.0,0.81,1,2.3,7267.0,7,17,0.66,0,0.54,0.3,0.59,0.4,0.37,0.45,0.45,0,0,0
SME_00001,food,urban,6.0,6,male,45.4,1,25787,19206.0,0.1,21.0,3156.0,0.76,1,0.9,1470.0,6,24,0.26,1,0.35,0.32,0.53,0.56,0.33,0.38,0.38,0,0,0
SME_00002,services,rural,1.8,8,female,46.2,2,12170,8769.0,0.13,21.0,1773.0,0.81,1,7.9,1285.0,2,22,0.32,0,0.37,0.25,0.67,0.19,0.44,0.36,0.23,0,0,0
SME_00003,services,rural,1.9,8,male,21.6,4,8394,6565.0,0.66,8.0,952.0,0.72,0,0.0,0.0,3,32,0.57,1,0.28,0.19,0.0,0.74,0.46,0.28,0.23,0,0,0
SME_00004,retail,rural,1.5,12,male,52.5,2,6800,5481.0,0.35,23.0,1277.0,0.91,1,0.0,6831.0,3,29,0.29,1,0.42,0.2,0.54,0.57,0.49,0.42,0.37,0,0,0
SME_00005,retail,rural,10.2,10,female,41.1,1,5477,4577.0,0.1,21.0,1972.0,0.75,1,1.4,736.0,3,23,0.53,1,0.42,0.31,0.53,0.72,0.3,0.45,0.32,0,0,0
SME_00006,retail,rural,3.6,11,male,33.6,2,9582,7600.0,0.27,13.0,1934.0,0.79,1,0.3,3037.0,2,22,0.75,1,0.35,0.24,0.52,0.85,0.34,0.41,0.36,0,0,0
SME_00007,manufacturing,rural,0.3,9,female,39.7,2,15586,13988.0,0.67,100.0,2137.0,0.7,1,0.1,6380.0,8,18,0.08,1,0.65,0.16,0.54,0.45,0.38,0.44,0.31,0,0,0
SME_00008,services,urban,6.0,5,male,18.0,1,18940,13444.0,0.36,53.0,5563.0,0.57,0,0.0,0.0,4,30,0.19,0,0.47,0.3,0.0,0.11,0.13,0.32,0.32,0,0,0
SME_00009,services,urban,2.0,6,male,42.9,3,27265,22029.0,0.1,35.0,10878.0,0.81,1,2.6,5295.0,2,29,0.13,1,0.5,0.26,0.58,0.48,0.52,0.46,0.46,0,0,0
SME_00010,retail,urban,0.2,8,male,25.6,4,9989,7947.0,0.61,19.0,1695.0,0.47,1,1.2,1586.0,2,32,0.38,1,0.27,0.17,0.53,0.63,0.49,0.36,0.36,0,0,0
SME_00011,food,rural,2.4,6,male,21.8,2,6848,5902.0,0.11,16.0,1259.0,0.45,1,2.3,3219.0,3,20,0.61,1,0.25,0.2,0.57,0.77,0.25,0.35,0.3,0,0,0
SME_00012,manufacturing,rural,1.6,10,female,19.7,2,39996,37659.0,0.18,5.0,15661.0,0.14,1,1.5,1398.0,2,26,0.28,0,0.18,0.25,0.54,0.17,0.24,0.26,0.13,0,0,0
SME_00013,retail,urban,6.3,10,male,51.4,2,4904,4059.0,0.22,9.0,753.0,0.62,1,2.0,3567.0,5,24,0.35,1,0.27,0.25,0.56,0.61,0.48,0.34,0.34,0,0,0
SME_00014,retail,rural,0.7,7,male,30.4,1,7016,6642.0,0.57,37.0,1778.0,0.49,0,0.0,0.0,4,29,0.26,1,0.37,0.13,0.0,0.56,0.22,0.28,0.23,0,0,0
SME_00015,retail,rural,5.3,8,male,56.4,3,7867,6101.0,0.8,15.0,1352.0,0.37,1,2.2,67.0,5,20,0.09,0,0.22,0.23,0.54,0.05,0.62,0.27,0.22,0,0,0
SME_00016,agriculture,urban,2.4,12,male,31.6,2,15699,11110.0,0.8,53.0,5961.0,0.75,1,0.4,8857.0,4,34,0.56,1,0.55,0.24,0.56,0.74,0.34,0.45,0.45,0,0,0
SME_00017,agriculture,urban,0.2,8,female,18.0,2,16767,12431.0,0.1,4.0,6614.0,0.98,0,0.0,0.0,2,31,0.25,0,0.43,0.23,0.0,0.15,0.23,0.27,0.19,0,0,0
SME_00018,agriculture,rural,10.7,8,male,24.6,3,15318,12236.0,0.76,18.0,5276.0,0.66,1,1.2,5214.0,4,19,0.55,1,0.37,0.31,0.56,0.73,0.37,0.4,0.35,0,0,0
SME_00019,retail,urban,2.2,12,female,52.8,2,10253,7988.0,0.1,26.0,1994.0,0.53,1,1.2,556.0,5,40,0.84,1,0.32,0.24,0.53,0.9,0.51,0.42,0.34,0,0,0
SME_00020,services,rural,1.0,5,female,36.1,2,12946,9376.0,0.1,18.0,2862.0,0.35,1,3.0,1494.0,1,22,0.39,1,0.24,0.23,0.57,0.63,0.36,0.33,0.2,0,0,0
SME_00021,retail,urban,1.9,6,male,31.4,1,8835,7140.0,0.22,55.0,1526.0,0.98,0,0.0,0.0,5,30,0.57,1,0.57,0.2,0.0,0.74,0.23,0.35,0.35,0,0,0
SME_00022,retail,rural,5.9,9,female,39.9,3,6264,4914.0,0.2,100.0,2300.0,0.85,1,0.4,692.0,4,20,0.92,0,0.77,0.26,0.51,0.55,0.49,0.55,0.42,0,0,0
SME_00023,agriculture,rural,1.1,8,male,44.0,4,16443,12014.0,0.28,3.0,6156.0,0.91,0,0.0,0.0,5,24,0.47,1,0.4,0.24,0.0,0.68,0.62,0.33,0.28,0,0,0
SME_00024,agriculture,rural,0.6,13,male,51.4,2,9265,7171.0,0.2,3.0,2091.0,0.97,1,0.5,2066.0,2,36,0.02,0,0.37,0.21,0.52,0.01,0.49,0.34,0.29,0,0,0
SME_00025,manufacturing,urban,0.4,5,male,55.4,4,45601,42026.0,0.82,3.0,13542.0,0.65,1,2.6,1368.0,5,33,0.13,1,0.3,0.21,0.56,0.48,0.72,0.36,0.36,0,0,0
SME_00026,retail,rural,1.1,8,female,33.7,1,8061,6251.0,0.1,29.0,1206.0,0.47,1,1.3,3258.0,4,19,0.71,0,0.3,0.21,0.55,0.43,0.24,0.34,0.21,0,0,0
SME_00027,agriculture,rural,4.5,4,female,22.1,2,9741,8557.0,0.1,12.0,2245.0,0.3,0,0.0,0.0,1,19,0.4,1,0.21,0.22,0.0,0.64,0.25,0.23,0.1,0,0,0
SME_00028,services,urban,1.9,3,male,33.0,2,24972,21301.0,0.76,33.0,7228.0,0.97,1,1.1,1280.0,4,28,0.81,1,0.51,0.2,0.53,0.89,0.34,0.45,0.45,0,0,0
SME_00029,retail,rural,0.8,13,female,41.1,2,5980,4825.0,0.1,13.0,1289.0,0.63,1,4.4,3967.0,4,20,0.65,1,0.31,0.2,0.61,0.79,0.4,0.37,0.24,0,0,0
